Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase 1,Chrome 136.0.7103.114,,,16-05-2025 20:58:33,16-05-2025 21:00:25,1m - 52.100s,PASSED
,,,,,,,
Start listener action : beforeTestSuite,Chrome 136.0.7103.114,,,16-05-2025 20:58:33,16-05-2025 20:58:33,0.018s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Standard_Login_TC,Chrome 136.0.7103.114,,,16-05-2025 20:58:33,16-05-2025 20:59:27,53.586s,PASSED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 20:58:33,16-05-2025 20:58:33,0.017s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 20:58:33,16-05-2025 20:58:37,3.444s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 20:58:37,16-05-2025 20:58:46,9.457s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""))",Chrome 136.0.7103.114,,,16-05-2025 20:58:46,16-05-2025 20:58:47,0.417s,PASSED
"sendKeys(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""yashkabra30@gmail.com"")",Chrome 136.0.7103.114,,,16-05-2025 20:58:47,16-05-2025 20:58:47,0.465s,PASSED
delay(10),Chrome 136.0.7103.114,,,16-05-2025 20:58:47,16-05-2025 20:58:57,10.028s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 20:58:57,16-05-2025 20:58:57,0.322s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Please enter your password""))",Chrome 136.0.7103.114,,,16-05-2025 20:58:57,16-05-2025 20:59:19,21.704s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Please enter your password""), ""cvW8qx4B2o1WegCEDy41Xg=="")",Chrome 136.0.7103.114,,,16-05-2025 20:59:19,16-05-2025 20:59:19,0.335s,PASSED
