Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase 1,Chrome 136.0.7103.114,,,16-05-2025 21:07:28,16-05-2025 21:07:43,14.595s,FAILED
,,,,,,,
Start listener action : beforeTestSuite,Chrome 136.0.7103.114,,,16-05-2025 21:07:28,16-05-2025 21:07:28,0.011s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Standard_Login_TC,Chrome 136.0.7103.114,,,16-05-2025 21:07:28,16-05-2025 21:07:34,5.663s,FAILED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:07:28,16-05-2025 21:07:28,0.010s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 21:07:28,16-05-2025 21:07:32,3.544s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 21:07:32,16-05-2025 21:07:34,1.926s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""))",Chrome 136.0.7103.114,,,16-05-2025 21:07:34,16-05-2025 21:07:34,0.109s,FAILED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:07:34,16-05-2025 21:07:34,0.027s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Login_With_Valid_Email_Invalid_PWD_TC,Chrome 136.0.7103.114,,,16-05-2025 21:07:34,16-05-2025 21:07:38,3.583s,FAILED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:07:34,16-05-2025 21:07:34,0.002s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 21:07:34,16-05-2025 21:07:35,1.073s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 21:07:35,16-05-2025 21:07:37,2.325s,PASSED
"setText(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""yashkabra30@gmail.com"")",Chrome 136.0.7103.114,,,16-05-2025 21:07:37,16-05-2025 21:07:38,0.097s,FAILED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:07:38,16-05-2025 21:07:38,0.042s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Login_With_Invalid_Email_TC,Chrome 136.0.7103.114,,,16-05-2025 21:07:38,16-05-2025 21:07:43,4.993s,FAILED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:07:38,16-05-2025 21:07:38,0.003s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 21:07:38,16-05-2025 21:07:39,1.252s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 21:07:39,16-05-2025 21:07:43,3.542s,PASSED
"setText(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""test@test.com"")",Chrome 136.0.7103.114,,,16-05-2025 21:07:43,16-05-2025 21:07:43,0.083s,FAILED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:07:43,16-05-2025 21:07:43,0.027s,PASSED
,,,,,,,
Start listener action : afterTestSuite,Chrome 136.0.7103.114,,,16-05-2025 21:07:43,16-05-2025 21:07:43,0.124s,ERROR
