Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase 1,Chrome 136.0.7103.114,,,16-05-2025 21:08:12,16-05-2025 21:10:14,2m - 1.742s,FAILED
,,,,,,,
Start listener action : beforeTestSuite,Chrome 136.0.7103.114,,,16-05-2025 21:08:12,16-05-2025 21:08:12,0.010s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Standard_Login_TC,Chrome 136.0.7103.114,,,16-05-2025 21:08:13,16-05-2025 21:09:06,53.320s,FAILED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:08:13,16-05-2025 21:08:13,0.009s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 21:08:13,16-05-2025 21:08:15,2.513s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 21:08:15,16-05-2025 21:08:22,7.321s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""))",Chrome 136.0.7103.114,,,16-05-2025 21:08:22,16-05-2025 21:08:23,0.316s,PASSED
"sendKeys(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""yashkabra30@gmail.com"")",Chrome 136.0.7103.114,,,16-05-2025 21:08:23,16-05-2025 21:08:23,0.442s,PASSED
delay(10),Chrome 136.0.7103.114,,,16-05-2025 21:08:23,16-05-2025 21:08:33,10.028s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 21:08:33,16-05-2025 21:08:34,0.317s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Please enter your password""))",Chrome 136.0.7103.114,,,16-05-2025 21:08:34,16-05-2025 21:09:06,32.217s,FAILED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:09:06,16-05-2025 21:09:06,0.116s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Login_With_Valid_Email_Invalid_PWD_TC,Chrome 136.0.7103.114,,,16-05-2025 21:09:06,16-05-2025 21:09:58,51.843s,FAILED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:09:06,16-05-2025 21:09:06,0.000s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 21:09:06,16-05-2025 21:09:08,1.553s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 21:09:08,16-05-2025 21:09:17,9.153s,PASSED
"setText(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""yashkabra30@gmail.com"")",Chrome 136.0.7103.114,,,16-05-2025 21:09:17,16-05-2025 21:09:17,0.836s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 21:09:17,16-05-2025 21:09:18,0.894s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 21:09:18,16-05-2025 21:09:23,4.477s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 21:09:23,16-05-2025 21:09:25,2.333s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Please enter your password""))",Chrome 136.0.7103.114,,,16-05-2025 21:09:25,16-05-2025 21:09:58,32.431s,FAILED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:09:58,16-05-2025 21:09:58,0.135s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Login_With_Invalid_Email_TC,Chrome 136.0.7103.114,,,16-05-2025 21:09:58,16-05-2025 21:10:14,16.244s,PASSED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:09:58,16-05-2025 21:09:58,0.000s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 21:09:58,16-05-2025 21:09:59,1.488s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 21:09:59,16-05-2025 21:10:08,8.826s,PASSED
"setText(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""test@test.com"")",Chrome 136.0.7103.114,,,16-05-2025 21:10:08,16-05-2025 21:10:09,0.943s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 21:10:09,16-05-2025 21:10:10,0.515s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/p_User doesnt exist for the entered email""))",Chrome 136.0.7103.114,,,16-05-2025 21:10:10,16-05-2025 21:10:14,4.336s,PASSED
closeBrowser(),Chrome 136.0.7103.114,,,16-05-2025 21:10:14,16-05-2025 21:10:14,0.105s,PASSED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:10:14,16-05-2025 21:10:14,0.003s,PASSED
,,,,,,,
Start listener action : afterTestSuite,Chrome 136.0.7103.114,,,16-05-2025 21:10:14,16-05-2025 21:10:14,0.090s,ERROR
