Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase 1,Chrome 136.0.7103.114,,,16-05-2025 20:42:52,16-05-2025 20:44:54,2m - 1.344s,FAILED
,,,,,,,
Test Cases/Login_and_SignUp/Standard_Login_TC,Chrome 136.0.7103.114,,,16-05-2025 20:42:52,16-05-2025 20:43:50,57.174s,FAILED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 20:42:53,16-05-2025 20:42:53,0.014s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 20:42:53,16-05-2025 20:42:56,3.879s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 20:42:56,16-05-2025 20:43:05,8.414s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""))",Chrome 136.0.7103.114,,,16-05-2025 20:43:05,16-05-2025 20:43:06,0.716s,PASSED
"sendKeys(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""yashkabra30@gmail.com"")",Chrome 136.0.7103.114,,,16-05-2025 20:43:06,16-05-2025 20:43:06,0.467s,PASSED
delay(10),Chrome 136.0.7103.114,,,16-05-2025 20:43:06,16-05-2025 20:43:16,10.029s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 20:43:16,16-05-2025 20:43:16,0.296s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Please enter your password""))",Chrome 136.0.7103.114,,,16-05-2025 20:43:16,16-05-2025 20:43:50,33.142s,FAILED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 20:43:50,16-05-2025 20:43:50,0.152s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Login_With_Valid_Email_Invalid_PWD_TC,Chrome 136.0.7103.114,,,16-05-2025 20:43:50,16-05-2025 20:44:38,48.487s,FAILED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 20:43:50,16-05-2025 20:43:50,0.000s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 20:43:50,16-05-2025 20:43:51,1.623s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 20:43:51,16-05-2025 20:43:59,7.638s,PASSED
"setText(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""yashkabra30@gmail.com"")",Chrome 136.0.7103.114,,,16-05-2025 20:43:59,16-05-2025 20:44:00,1.080s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 20:44:00,16-05-2025 20:44:01,0.530s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 20:44:01,16-05-2025 20:44:04,3.700s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 20:44:04,16-05-2025 20:44:06,2.043s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Please enter your password""))",Chrome 136.0.7103.114,,,16-05-2025 20:44:06,16-05-2025 20:44:38,31.708s,FAILED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 20:44:38,16-05-2025 20:44:38,0.116s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Login_With_Invalid_Email_TC,Chrome 136.0.7103.114,,,16-05-2025 20:44:38,16-05-2025 20:44:54,15.438s,PASSED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 20:44:38,16-05-2025 20:44:38,0.002s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 20:44:38,16-05-2025 20:44:40,1.497s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 20:44:40,16-05-2025 20:44:48,7.934s,PASSED
"setText(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""test@test.com"")",Chrome 136.0.7103.114,,,16-05-2025 20:44:48,16-05-2025 20:44:49,1.403s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/button_signInBtnEmailContinue""))",Chrome 136.0.7103.114,,,16-05-2025 20:44:49,16-05-2025 20:44:50,0.517s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/p_User doesnt exist for the entered email""))",Chrome 136.0.7103.114,,,16-05-2025 20:44:50,16-05-2025 20:44:53,3.934s,PASSED
closeBrowser(),Chrome 136.0.7103.114,,,16-05-2025 20:44:53,16-05-2025 20:44:54,0.103s,PASSED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 20:44:54,16-05-2025 20:44:54,0.003s,PASSED
