Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase 1,Chrome 136.0.7103.114,,,16-05-2025 21:12:31,16-05-2025 21:12:43,12.520s,FAILED
,,,,,,,
Start listener action : beforeTestSuite,Chrome 136.0.7103.114,,,16-05-2025 21:12:31,16-05-2025 21:12:31,0.011s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Standard_Login_TC,Chrome 136.0.7103.114,,,16-05-2025 21:12:31,16-05-2025 21:12:36,5.165s,FAILED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:12:31,16-05-2025 21:12:31,0.010s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 21:12:31,16-05-2025 21:12:34,2.424s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 21:12:34,16-05-2025 21:12:36,2.571s,PASSED
"click(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""))",Chrome 136.0.7103.114,,,16-05-2025 21:12:36,16-05-2025 21:12:36,0.091s,FAILED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:12:36,16-05-2025 21:12:36,0.025s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Login_With_Valid_Email_Invalid_PWD_TC,Chrome 136.0.7103.114,,,16-05-2025 21:12:36,16-05-2025 21:12:40,3.429s,FAILED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:12:36,16-05-2025 21:12:36,0.001s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 21:12:36,16-05-2025 21:12:38,1.144s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 21:12:38,16-05-2025 21:12:40,2.161s,PASSED
"setText(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""yashkabra30@gmail.com"")",Chrome 136.0.7103.114,,,16-05-2025 21:12:40,16-05-2025 21:12:40,0.073s,FAILED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:12:40,16-05-2025 21:12:40,0.022s,PASSED
,,,,,,,
Test Cases/Login_and_SignUp/Login_With_Invalid_Email_TC,Chrome 136.0.7103.114,,,16-05-2025 21:12:40,16-05-2025 21:12:43,3.624s,FAILED
Start listener action : beforeTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:12:40,16-05-2025 21:12:40,0.001s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,16-05-2025 21:12:40,16-05-2025 21:12:41,1.210s,PASSED
"navigateToUrl(""https://dev-portal.quantumtrades.com/"")",Chrome 136.0.7103.114,,,16-05-2025 21:12:41,16-05-2025 21:12:43,2.287s,PASSED
"setText(findTestObject(""Object Repository/Login_page/Page_QuantumTrades/input_Enter your email or phone number""), ""test@test.com"")",Chrome 136.0.7103.114,,,16-05-2025 21:12:43,16-05-2025 21:12:43,0.078s,FAILED
Start listener action : sampleAfterTestCase,Chrome 136.0.7103.114,,,16-05-2025 21:12:43,16-05-2025 21:12:43,0.018s,PASSED
,,,,,,,
Start listener action : afterTestSuite,Chrome 136.0.7103.114,,,16-05-2025 21:12:43,16-05-2025 21:12:43,0.069s,ERROR
